app_name,device_id,clock_period_nsec,design_latency_msec,bram_utilization,dsp_utilization,ff_utilization,lut_utilization,synthesis_time_sec
rodinia_lc_mgvf_0_baseline_0,xcu200-fsgd2104-2-e,3.33,25699.77658125,0,0,0,0,34.31000280380249
rodinia_lc_mgvf_0_baseline_0,xczu7ev-ffvc1156-2-e,10,48990.78337,0,1,0,1,33.008244037628174
rodinia_lc_mgvf_0_baseline_0,xczu7ev-ffvc1156-2-e,5,43956.962245,0,1,0,1,32.860729932785034
rodinia_lc_mgvf_0_baseline_0,xczu7ev-ffvc1156-2-e,3.33,39108.127608450006,0,0,1,2,32.964887380599976
rodinia-knn-2-pipeline,xcu200-fsgd2104-2-e,10,293.68326,0,0,0,0,24.095365524291992
rodinia-knn-2-pipeline,xcu200-fsgd2104-2-e,5,209.75619,0,0,0,0,24.143139123916626
rodinia-knn-2-pipeline,xcu200-fsgd2104-2-e,3.33,178.10696142,0,0,0,0,25.69401502609253
rodinia-knn-2-pipeline,xczu7ev-ffvc1156-2-e,10,356.59782,0,0,0,0,26.906886339187622
rodinia-knn-2-pipeline,xczu7ev-ffvc1156-2-e,5,283.15651,0,0,0,0,26.83179807662964
rodinia-knn-2-pipeline,xczu7ev-ffvc1156-2-e,3.33,254.92563918000002,0,0,0,0,27.38269019126892
